Bird ID,Song duration (sec),Total no. notes /song,Tempo,Before/After experiment,Experimental group (Control/High-nutrition)
BF0019,9.006,75,8.327781479,A,c
BF0019,6.887,57,8.276462901,A,c
BF0019,4.768,40,8.389261745,A,c
BF0019,5.692,45,7.905832748,A,c
BF0019,7.003,59,8.424960731,A,c
BF0019,4.554,38,8.344312692,A,c
BF0019,8.438,65,7.703247215,A,c
BF0019,4.479,36,8.037508372,A,c
BF0019,5.077,40,7.878668505,A,c
BF0019,8.037,58,7.216623118,A,c
BF0019,7.3587,61,8.289507658,A,c
BF0019,6.737,55,8.163871159,A,c
BF0019,6.958,53,7.61713136,A,c
BF0019,8.368,71,8.484703633,A,c
BF0004,3.207,25,7.795447459,A,c
BF0004,9.111,68,7.463505653,A,c
BF0004,5.912,40,6.765899865,A,c
BF0004,6.33,45,7.109004739,A,c
BF0004,7.904,58,7.33805668,A,c
BF0004,2.981,23,7.715531701,A,c
BF0004,3.497,23,6.577066057,A,c
BF0004,7.207,51,7.076453448,A,c
BF0004,4.636,32,6.902502157,A,c
BF0004,5.053,32,6.332871561,A,c
BF0004,7.225,53,7.335640138,A,c
BF0004,2.621,20,7.630675315,A,c
BF0004,6.597,45,6.821282401,A,c
BF0004,6.87,49,7.132459971,A,c
BF0004,10.3,72,6.990291262,A,c
BF0004,6.777,50,7.377895824,A,c
BF0004,9.227,65,7.044543188,A,c
BF0004,3.503,25,7.136739937,A,c
BF0004,8.164,57,6.981871632,A,c
BF0004,5.396,37,6.85693106,A,c
BF0002,2.342,20,8.53970965,A,c
BF0002,3.462,30,8.665511265,A,c
BF0021,6,42,7,A,c
BF0021,1.866,15,8.038585209,A,c
BF0021,0.473,5,10.57082452,A,c
BF0021,1.855,13,7.008086253,A,c
BF0021,7.544,54,7.158006363,A,c
BF0021,3.654,26,7.115489874,A,c
BF0021,3.892,33,8.478931141,A,c
BF0021,10.423,79,7.57939173,A,c
BF0021,8.6,68,7.906976744,A,c
BF0021,1.164,11,9.450171821,A,c
BF0021,6.598,52,7.881176114,A,c
BF0021,0.549,6,10.92896175,A,c
BF0021,7.224,56,7.751937984,A,c
BF0021,0.984,9,9.146341463,A,c
BF0021,7.05,56,7.943262411,A,c
BF0021,6.795,53,7.799852833,A,c
BF0021,13.007,93,7.149996156,A,c
BF0021,10.667,78,7.312271492,A,c
BF0021,13.244,98,7.399577167,A,c
BF0021,7.991,60,7.508447003,A,c
BF0017,3.689,44,11.92735159,A,c
BF0017,2.795,32,11.4490161,A,c
BF0017,4.078,45,11.03482099,A,c
BF0017,7.062,77,10.90342679,A,c
BF0017,6.116,64,10.46435579,A,c
BF0017,6.435,76,11.81041181,A,c
BF0017,4.798,56,11.6715298,A,c
BF0017,6.191,70,11.30673558,A,c
BF0017,1.329,16,12.03912716,A,c
BF0017,8.67,98,11.30334487,A,c
BF0017,5.709,71,12.43650377,A,c
BF0017,4.113,51,12.39970824,A,c
BF0017,3.904,47,12.03893443,A,c
BF0017,1.773,23,12.97236323,A,c
BF0017,4.432,48,10.83032491,A,c
BF0017,5.042,57,11.30503768,A,c
BF0017,7.347,73,9.936028311,A,c
BF0017,3.39,38,11.20943953,A,c
BF0017,3.567,42,11.7746005,A,c
BF0017,5.808,77,13.25757576,A,c
BF0003,2.424,44,18.15181518,A,c
BF0018,3.887,33,8.489837921,A,h
BF0018,9.297,73,7.851995267,A,h
BF0018,12.129,99,8.162255751,A,h
BF0018,10.759,88,8.17919881,A,h
BF0018,11.085,90,8.119079838,A,h
BF0018,33.647,275,8.173091212,A,h
BF0018,4.652,37,7.953568358,A,h
BF0018,7.683,63,8.199921906,A,h
BF0018,8.275,67,8.096676737,A,h
BF0018,8.031,66,8.218154651,A,h
BF0018,8.368,68,8.126195029,A,h
BF0018,3.666,30,8.183306056,A,h
BF0018,8.287,68,8.205623265,A,h
BF0018,5.675,49,8.634361233,A,h
BF0018,11.938,97,8.125314123,A,h
BF0018,6.574,54,8.214177061,A,h
BF0018,9.976,85,8.520449078,A,h
BF0018,8.815,71,8.054452638,A,h
BF0018,9.198,75,8.15394651,A,h
BF0018,2.638,22,8.339651251,A,h
BF0027,3.428,34,9.91831972,A,h
BF0026,5.146,46,8.938981733,A,h
BF0026,7.3,65,8.904109589,A,h
BF0026,8.664,69,7.96398892,A,h
BF0026,4.908,39,7.946210269,A,h
BF0026,7.021,62,8.830650904,A,h
BF0026,8.646,75,8.674531575,A,h
BF0026,11.183,82,7.332558347,A,h
BF0026,12.583,106,8.424064214,A,h
BF0026,14.939,104,6.961644019,A,h
BF0026,7.933,70,8.823900164,A,h
BF0026,12.443,101,8.117013582,A,h
BF0026,6.307,57,9.037577295,A,h
BF0026,11.224,87,7.751247327,A,h
BF0026,5.044,47,9.318001586,A,h
BF0026,8.048,62,7.703777336,A,h
BF0026,9.616,76,7.903494176,A,h
BF0026,9.895,77,7.781707933,A,h
BF0026,10.44,74,7.088122605,A,h
BF0026,5.401,47,8.702092205,A,h
BF0026,10.028,77,7.678500199,A,h
BF0016,8.727,91,10.42740919,A,h
BF0016,5.808,55,9.46969697,A,h
BF0016,4.687,51,10.88116066,A,h
BF0016,6.603,62,9.389671362,A,h
BF0016,4.606,57,12.37516283,A,h
BF0016,7.114,75,10.54259207,A,h
BF0016,7.062,73,10.33701501,A,h
BF0016,5.663,52,9.182412149,A,h
BF0016,3.631,40,11.01624897,A,h
BF0016,5.93,60,10.11804384,A,h
BF0016,0.775,11,14.19354839,A,h
BF0016,3.312,38,11.47342995,A,h
BF0016,6.655,71,10.66867017,A,h
BF0016,3.364,40,11.89060642,A,h
BF0016,3.747,48,12.8102482,A,h
BF0016,1.236,15,12.13592233,A,h
BF0016,1.78,24,13.48314607,A,h
BF0016,1.454,20,13.75515818,A,h
BF0016,5.802,64,11.03067908,A,h
BF0016,4.397,48,10.916534,A,h
